,customer,recency,frequency,monetary
646,cust200,21,12,319011
647,cust409,16,28,104856
648,cust2124,169,1,238178
649,cust1218,17,11,102028
650,cust4651,77,1,27902
651,cust1074,21,16,144613
652,cust1101,57,23,930994
653,cust680,10,45,2574920
654,cust333,45,24,413628
655,cust1325,72,5,119815
656,cust4670,176,1,43899
657,cust4671,126,1,147342
658,cust370,30,9,169345
659,cust999,169,2,64021
660,cust451,42,7,50000
661,cust4088,92,6,343285
662,cust2597,185,2,307179
663,cust812,35,21,636519
664,cust1163,29,8,58753
665,cust96,46,27,437064
666,cust4697,170,1,26423
667,cust521,39,10,267395
668,cust1586,198,2,41100
669,cust1585,85,12,254823
670,cust2592,30,12,80665
671,cust4718,164,1,27287
672,cust502,14,23,223702
673,cust421,21,29,817428
674,cust1147,11,15,639111
675,cust4729,72,2,5543
676,cust331,99,25,853409
677,cust1720,58,5,86385
678,cust158,14,48,1864416
679,cust1319,21,16,255709
680,cust180,43,46,922366
681,cust1530,67,2,125365
682,cust2834,28,4,54039
683,cust933,51,10,195493
684,cust327,64,30,425192
685,cust4772,57,3,7689
686,cust1123,115,29,596891
687,cust4576,150,1,5792
688,cust462,133,17,296040
689,cust2034,25,13,291636
690,cust325,16,29,357710
691,cust3218,100,1,112367
692,cust2052,148,3,435056
693,cust2417,107,3,176855
694,cust578,29,34,2239321
695,cust2405,247,2,27478
696,cust1768,31,4,22050
697,cust1115,44,38,3706673
698,cust295,23,16,219796
699,cust1061,15,65,856543
700,cust691,99,10,1436133
701,cust4839,95,1,7738
702,cust2599,92,3,16862
703,cust984,29,27,586678
704,cust3067,38,6,68585
705,cust1015,56,23,236866
706,cust3036,44,6,22396
707,cust4696,107,4,100946
708,cust619,23,15,216523
709,cust3314,92,5,368872
710,cust53,31,11,169039
711,cust3928,42,4,240988
712,cust4884,70,3,5034
713,cust1064,88,10,163290
714,cust938,16,14,535494
715,cust1577,24,12,133699
716,cust614,46,36,498116
717,cust1893,56,4,42560
718,cust262,36,17,719814
719,cust1073,85,21,150255
720,cust2129,10,22,365275
721,cust3331,86,4,27329
722,cust1457,84,4,149542
723,cust527,135,17,-4030018
724,cust3699,262,1,22243
725,cust747,24,10,113275
726,cust393,18,39,791837
727,cust804,28,15,1042602
728,cust461,14,25,290416
729,cust1006,175,13,619834
730,cust1680,29,11,147345
731,cust1495,10,5,24161
732,cust397,56,34,1483696
733,cust651,116,16,843606
734,cust638,112,17,1002756
735,cust447,37,9,86975
736,cust438,46,22,847977
737,cust452,98,6,59813
738,cust1228,36,12,100157
739,cust486,16,73,1348840
740,cust749,60,8,539227
741,cust2365,53,2,5238
742,cust674,24,22,203733
743,cust1976,67,3,234122
744,cust666,91,3,87940
745,cust898,99,4,154290
746,cust705,59,14,532687
747,cust543,51,9,238322
748,cust2622,233,2,204114
749,cust1435,28,18,450271
750,cust2716,95,15,406548
751,cust4319,21,7,59900
752,cust885,30,36,879697
753,cust5045,60,2,100497
754,cust2404,84,7,694727
755,cust1667,30,11,157574
756,cust1008,79,4,108700
757,cust564,44,13,67977
758,cust603,11,17,453790
759,cust1722,52,11,187448
760,cust699,10,20,209681
761,cust3886,31,2,33852
762,cust5072,220,2,66574
763,cust444,71,10,124047
764,cust4031,29,14,245150
765,cust3972,37,2,156084
766,cust1708,53,8,1022338
767,cust1099,105,11,74747
768,cust654,109,2,238237
769,cust5092,240,1,2549
770,cust237,10,13,381372
771,cust581,28,16,2138252
772,cust2050,25,5,211568
773,cust275,24,18,644788
774,cust5129,322,1,33893
775,cust978,31,14,232905
776,cust3345,57,2,75213
777,cust4139,81,2,45304
778,cust2383,184,1,6303
779,cust2477,52,5,115139
780,cust1190,78,3,95239
781,cust982,80,7,351478
782,cust771,65,7,509516
783,cust2043,134,2,178569
784,cust643,57,5,296939
785,cust958,227,6,510604
786,cust2415,101,3,617066
787,cust5157,119,1,-7698
788,cust1137,56,11,592454
789,cust175,107,27,718041
790,cust1956,23,4,73006
791,cust21,36,59,709863
792,cust2937,29,18,338443
793,cust2198,109,2,144207
794,cust1521,78,4,48192
795,cust1643,28,7,297649
796,cust3441,71,6,50617
797,cust276,121,7,625680
798,cust822,31,11,305333
799,cust1039,16,16,381564
800,cust991,17,17,280353
801,cust1537,21,6,116406
802,cust14,10,16,298878
803,cust1443,80,5,200381
804,cust2693,92,6,479103
805,cust2168,64,9,419923
806,cust2312,51,12,2025619
807,cust545,28,21,315415
808,cust1668,37,9,182047
809,cust1952,29,19,254573
810,cust2542,15,16,188308
811,cust5235,81,5,47343
812,cust3302,172,3,356448
813,cust258,17,32,382942
814,cust1798,15,40,320369
815,cust5248,35,2,53167
816,cust2208,31,5,199693
817,cust1227,29,10,99287
818,cust3430,339,1,6553
819,cust482,99,5,967932
820,cust346,93,27,511379
821,cust1697,101,7,199226
822,cust929,88,8,657095
823,cust1748,182,6,39921
824,cust3196,231,2,33965
825,cust1839,16,7,109236
826,cust1214,53,6,438885
827,cust963,36,25,126804
828,cust359,86,9,44408
829,cust794,102,4,1679034
830,cust1188,32,5,258747
831,cust2046,60,3,304589
832,cust1654,175,1,117357
833,cust655,18,42,697089
834,cust2778,122,7,145811
